@id,@type,subClassOf,label,altLabel,elucidation,note,seeAlso
chameo:TransmissionElectronMicroscopy,owl:Class,chameo:Microscopy,Transmission Electron Microscopy,TEM,"Transmission electron microscopy (TEM) is a microscopy technique in which a beam of electrons is transmitted through a specimen to form an image. The specimen is most often an ultrathin section less than 100 nm thick or a suspension on a grid. An image is formed from the interaction of the electrons with the sample as the beam is transmitted through the specimen. The image is then magnified and focused onto an imaging device, such as a fluorescent screen, a layer of photographic film, or a sensor such as a scintillator attached to a charge-coupled device.
",,
temgo:BrightFieldImaging,owl:Class,chameo:TransmissionElectronMicroscopy,Bright Field Imaging,BF,,,
temgo:DarkFieldImaging,owl:Class,chameo:TransmissionElectronMicroscopy,Dark Field Imaging,DF,,,
temgo:ScanningTransmissionElectronMicroscopy,owl:Class,chameo:TransmissionElectronMicroscopy,Scanning Transmission Electron Microscopy,STEM,,,
temgo:HighResolutionTransmissionElectronMicroscopy,owl:Class,chameo:TransmissionElectronMicroscopy,High-Resolution Transmission Electron Microscopy,HRTEM,,,
temgo:SelectedAreaDiffraction,owl:Class,temgo:ElectronDiffraction,Selected Area Diffraction,SAD,,,
temgo:ConvergentBeamElectronDiffraction,owl:Class,chameo:TransmissionElectronMicroscopy,Convergen tBeam Electron Diffraction,CBED,,,
temgo:ElectronEnergyLossSpectroscopy,owl:Class,chameo:Spectroscopy,Electron Energy Loss Spectroscopy,EELS,,,
chameo:EnergyDispersiveXraySpectroscopy,owl:Class,chameo:Spectroscopy,Energy-Dispersive X-ray Spectroscopy,EDS,,,
temgo:ScanningPrecessionElectronDiffraction,owl:Class,temgo:ElectronDiffraction,Scanning Precession Electron Diffraction,SPED,,,
temgo:HighAngleAnnularDarkField,owl:Class,chameo:TransmissionElectronMicroscopy,High-Angle Annular Dark-Field,HAADF,,,
temgo:EELSMapping,owl:Class,,EELS Mapping,,,,
temgo:EDSMapping,owl:Class,,EDS Mapping,,,,
chameo:SecondaryIonMassSpectrometry,owl:Class,chameo:Spectrometry,Secondary Ion Mass Spectrometry,SIMS,Secondary-ion mass spectrometry (SIMS) is a technique used to analyze the composition of solid surfaces and thin films by sputtering the surface of the specimen with a focused primary ion beam and collecting and analyzing ejected secondary ions.,,
chameo:ScanningElectronMicroscopy,owl:Class,chameo:Microscopy,Scanning Electron Microscopy,SEM,"The scanning electron microscope (SEM) uses a focused beam of high-energy electrons to generate a variety of signals at the surface of solid specimens. The signals that derive from electron-sample interactions reveal information about the sample including external morphology (texture), chemical composition, and crystalline structure and orientation of materials making up the sample.",,
chameo:ElectronProbeMicroanalysis,owl:Class,chameo:Microscopy,Electron Probe Microanalysis,EMPA,"Electron probe microanalysis (EPMA) is used for quantitative analysis of the elemental composition of solid specimens at a micrometer scale. The method uses bombardment of the specimen by keV electrons to excite characteristic X-rays from the sample, which are then detected by using wavelength-dispersive (WD) spectrometers.",,
chameo:OpticalMicroscopy,owl:Class,chameo:Microscopy,Optical Microscopy,LOM,Optical microscopy is a technique used to closely view a sample through the magnification of a lens with visible light.,,
chameo:XrayDiffraction,owl:Class,chameo:ScatteringAndDiffraction,X-ray Diffraction,XRD,,,
chameo:SynchrotronXRayDiffraction,owl:Class,chameo:ScatteringAndDiffraction,Synchrotron X-ray Diffraction,SXRD,"A high-resolution material characterization technique that measures the scattering of high-intensity, coherent, and tunable X-ray beam - generated by a synchrotron particle accelerator - as they interact with a crystalline or semi-crystalline sample. The resulting diffraction patterns are analyzed to determine the precise three-dimensional atomic structure, phase composition, and structural dynamics of materials with superior spatial and temporal resolution compared to conventional laboratory X-ray sources.",,
chameo:ElectronBackscatterDiffraction,owl:Class,chameo:ScatteringAndDiffraction,ElectronBackscatterDiffraction,EBSD,"Electron backscatter diffraction (EBSD) is a scanning electron microscopy (SEM) technique used to study the crystallographic structure of materials. EBSD is carried out in a scanning electron microscope equipped with an EBSD detector comprising at least a phosphorescent screen, a compact lens and a low-light camera. In this configuration, the SEM incident beam hits the tilted sample. As backscattered electrons leave the sample, they interact with the crystal's periodic atomic lattice planes and diffract according to Bragg's law at various scattering angles before reaching the phosphor screen forming Kikuchi patterns (EBSPs). EBSD spatial resolution depends on many factors, including the nature of the material under study and the sample preparation. Thus, EBSPs can be indexed to provide information about the material's grain structure, grain orientation, and phase at the micro-scale. EBSD is applied for impurities and defect studies, plastic deformation, and statistical analysis for average misorientation, grain size, and crystallographic texture. EBSD can also be combined with energy-dispersive X-ray spectroscopy (EDS), cathodoluminescence (CL), and wavelength-dispersive X-ray spectroscopy (WDS) for advanced phase identification and materials discovery.",,
